trip_distance_km,trip_duration_min,surge_multiplier,traffic_level,vehicle_type,weather_condition,peak_hour,pickup_zone,fuel_price_per_liter,demand_index,driver_rating,customer_rating,music_preference,customer_loyalty_score,phone_battery_level,ride_fare
15.61,41.45,1.0,Medium,Sedan,Sunny,0,SemiUrban,115.79,154.1,4.85,4.85,None,23.62,45,845.84
38.08,111.2,1.0,High,SUV,Sunny,1,Urban,100.57,238.69,3.89,4.62,None,64.2,7,1645.29
29.55,84.96,1.2,Medium,Mini,Sunny,1,Urban,109.23,252.92,3.44,4.27,Rock,88.44,18,1403.86
24.35,73.46,1.0,Medium,Mini,Sunny,0,Airport,110.03,68.83,4.88,3.86,Pop,10.38,59,1047.76
7.08,39.61,1.2,Medium,Mini,Sunny,0,SemiUrban,98.84,218.86,3.88,3.58,Classical,18.57,78,721.66
7.08,30.39,1.2,Medium,Sedan,Rainy,0,Urban,90.57,125.69,3.35,3.01,None,78.62,74,777.61
3.27,3.95,1.2,Low,Mini,Foggy,1,SemiUrban,114.8,139.7,4.65,4.66,Pop,56.23,50,452.59
34.78,125.41,1.2,High,Mini,Sunny,0,Urban,104.47,233.36,4.0,3.87,None,5.64,18,1678.46
24.44,87.6,1.0,Low,Sedan,,0,Airport,92.86,289.35,3.39,4.74,None,53.46,94,1256.07
28.61,105.02,2.5,Medium,SUV,Sunny,0,SemiUrban,118.73,250.92,4.36,3.64,Rock,92.15,8,3457.97
1.8,8.56,1.5,Medium,Mini,Rainy,1,Airport,98.89,122.92,4.96,3.68,None,18.29,37,876.14
38.83,132.74,1.0,Low,Sedan,Sunny,0,SemiUrban,104.23,226.96,3.17,3.04,Rock,6.84,53,1457.62
33.47,139.84,1.0,Low,Mini,Sunny,0,Urban,104.52,131.94,3.87,3.97,Classical,94.64,35,1377.6
9.28,27.44,1.0,Low,Mini,Rainy,0,Urban,101.12,159.9,4.03,3.98,Pop,37.98,16,711.46
8.09,17.83,1.2,Low,Mini,Rainy,0,Airport,94.55,80.76,4.32,4.31,None,77.63,49,661.48
8.15,25.94,1.0,High,Sedan,Sunny,0,SemiUrban,111.13,258.57,3.46,4.5,Rock,60.64,62,817.02
12.87,21.27,1.0,High,Sedan,,1,Airport,95.86,211.72,3.37,,Rock,18.73,3,894.05
21.47,49.02,1.0,Low,SUV,Rainy,1,SemiUrban,110.47,265.74,4.48,4.85,Pop,20.17,31,1157.31
17.85,,1.2,Low,SUV,Rainy,0,Urban,114.06,105.88,4.34,3.91,None,74.27,23,1180.38
12.36,26.58,1.2,High,Sedan,Rainy,0,Urban,90.69,82.33,3.49,4.15,Pop,63.45,48,2967.46
24.86,44.99,1.2,Low,Mini,Sunny,0,Urban,111.95,253.86,3.11,4.19,Classical,1.49,22,1087.46
6.44,23.23,2.0,High,SUV,Rainy,0,SemiUrban,,269.74,4.6,4.75,Rock,49.52,97,1744.12
12.39,49.88,1.0,Low,SUV,Sunny,1,Urban,95.87,92.98,4.36,4.39,Pop,91.88,38,807.53
15.29,34.09,1.2,Medium,SUV,Rainy,1,Urban,108.61,210.47,4.76,3.71,Pop,53.25,29,1286.13
,,1.0,Medium,Mini,Sunny,0,SemiUrban,102.62,91.27,3.14,4.41,Pop,2.8,73,731.91
31.62,79.72,1.2,Low,SUV,Rainy,0,Urban,92.54,53.63,3.98,4.79,Classical,48.93,69,1480.18
8.79,32.6,1.2,Low,SUV,Rainy,0,SemiUrban,105.71,185.58,,4.64,Rock,4.52,20,977.12
21.06,96.53,1.0,Medium,Sedan,Sunny,1,Urban,119.2,287.58,4.35,3.09,Rock,45.28,60,1097.0
24.1,72.91,1.0,Low,SUV,Sunny,1,SemiUrban,109.46,197.62,,3.13,Classical,73.72,18,1208.27
2.81,17.96,1.5,Medium,SUV,Rainy,0,Airport,99.92,157.28,3.53,4.36,None,13.1,92,1192.08
24.69,59.78,1.0,Low,Sedan,Sunny,0,SemiUrban,,120.51,4.43,4.96,Pop,34.1,72,1039.81
7.65,29.29,1.0,Medium,SUV,Rainy,0,SemiUrban,,120.37,4.65,4.2,None,19.9,33,676.95
3.54,10.11,2.0,Medium,SUV,Rainy,0,Urban,94.69,115.77,4.82,3.87,Pop,39.35,62,1280.67
38.01,157.2,1.2,Medium,SUV,Sunny,0,Urban,105.86,102.29,3.16,4.16,Pop,14.96,22,1911.82
38.66,125.37,1.5,Low,SUV,Sunny,0,Urban,105.21,66.63,4.61,3.91,Pop,27.19,20,2159.3
32.53,87.64,1.5,Medium,Sedan,Foggy,0,Urban,101.3,239.27,4.94,3.43,Pop,13.45,97,1904.53
12.88,60.88,1.0,Medium,Mini,Foggy,0,Airport,112.41,128.84,3.1,3.56,None,41.24,58,825.73
4.81,17.7,1.0,High,Mini,Sunny,0,Urban,106.95,89.02,4.82,3.6,Pop,47.16,36,468.39
27.69,77.17,1.5,Medium,SUV,,1,Airport,110.97,201.05,4.91,4.2,Classical,58.71,9,2170.93
